Title,Compensation,Number
Business Analyst,139153.1165,738
Data Scientist,219483.7984,2222
Hardware Engineer,227172.2561,1968
Human Resources,191996.7949,312
Management Consultant,169987.715,814
Marketing,206504.7619,630
Mechanical Engineer,164322.3684,456
Product Designer,219784.2847,1349
Product Manager,271396.9885,4184
Recruiter,162017.2414,406
Sales,229940.6528,337
Software Engineer,226082.2709,34209
Software Engineering Manager,383762.0769,3043
Solution Architect,231338.565,892
Technical Program Manager,249104.6229,1233
